,summary,config,id
0,{'_wandb': {'runtime': 6}},{},ic01zuzq
1,{'_wandb': {'runtime': 6}},{},36415u3j
2,{'_wandb': {'runtime': 6}},{},1ung9wf5
3,{'_wandb': {'runtime': 6}},{},3569cd71
4,{},"{'exp_name': 'gpt_video_cons_reg0001', 'overrides': ['trainer.dataset_type=video', 'trainer.reg_lmbda=0.001'], 'config_dir': 'atari/pretrain', 'group_name': 'baseline', 'config_name': 'mixed_gpt_impala'}",1vye579l
5,{},"{'exp_name': 'gpt_video_cons_reg01', 'overrides': ['trainer.dataset_type=video', 'trainer.reg_lmbda=0.1'], 'config_dir': 'atari/pretrain', 'group_name': 'baseline', 'config_name': 'mixed_gpt_impala'}",2s8nn3jn
6,"{'pos_sim': 0.9295581579208374, 'rank_eps1': 181, 'reward_ratio': 0.42362118105905294, 'mean_grad_norm': 0.074066427631641, 'best_metric_val': 0.1403839922221809, 'act_acc': 0.5475947443894514, '_runtime': 16761, 'act_loss': 1.5158679795077468, 'rank_eps01': 405, 'rank_eps001': 495, 'min_grad_norm': 3.543327991472554e-09, '_step': 47000, 'obs_loss': 0.199415115038241, 'reward_f1': 0.8987034515422413, 'loss': 1.715283102876558, 'epoch': 2, 'act_f1': 0.13700736152923332, 'neg_sim': 0.005322781857103109, 'reg_loss': 24.626275130144258, '_timestamp': 1671287170, 'pos_neg_diff': 0.9242354035377502, 'max_grad_norm': 0.6710913221197804}","{'env': {'game': 'Krull', 'seed': 42, 'type': 'atari', 'frame': 4, 'horizon': 27000, 'grayscale': True, 'frame_skip': 4}, 'seed': 0, 'debug': False, 'model': {'head': {'type': 'gpt', 'in_dim': 'None', 't_step': 11, 'dropout': 0, 'pred_dim': 512, 'proj_dim': 512, 'obs_shape': [4, 1, 84, 84], 'num_layers': 2, 'action_size': 18}, 'policy': {'type': 'identity', 'in_dim': 'None'}, 'backbone': {'type': 'impala', 'strides': '(3, 2, 2)', 'channels': '(16, 32, 32)', 'init_type': 'None', 'norm_type': 'bn', 'obs_shape': [4, 1, 84, 84], 'action_size': 18, 'scale_ratio': 2, 'expansion_ratio': 2, 'blocks_per_group': 3}}, 'device': 'cuda:1', 'entity': 'draftrec', 'trainer': {'type': 'gpt', 't_step': 11, 'eval_eps': 0.001, 'act_lmbda': 1, 'aug_types': ['random_shift', 'intensity'], 'log_every': 1000, 'loss_type': 'cont', 'mask_type': 'none', 'obs_lmbda': 1, 'obs_shape': [4, 1, 84, 84], 'optimizer': {'lr': 0.0003, 'eps': 0.00015, 'type': 'adamw', 'betas': [0.9, 0.95], 'weight_decay': 1e-05}, 'reg_lmbda': 0, 'scheduler': {'gamma': 1, 'max_lr': 0.0003, 'min_lr': 0.0003, 'cycle_mult': 1, 'warmup_ratio': 0.2}, 'batch_size': 64, 'eval_every': 1, 'mask_ratio': 0.5, 'num_epochs': 10, 'patch_size': [12, 12], 'save_every': 10, 'action_size': 18, 'base_metric': 'act_f1', 'eval_policy': False, 'temperature': 0.1, 'barlow_lmbda': 0.005, 'dataset_type': 'demonstration', 'mask_strategy': 'agnostic', 'clip_grad_norm': 0.5, 'num_eval_trajectories': 50}, 'exp_name': 'gpt_cont_demon', 'pretrain': {'env': 'None', 'name': '', 'seed': '', 'artifact_name': '', 'use_pretrained': False}, 'dataloader': {'act': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'rew': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'game': 'Krull', 'type': 'replay', 'train': {'runs': [1], 'frame': 4, 't_step': 11, 'shuffle': True, 'max_size': 500000, 'batch_size': 64, 'checkpoints': [3, 4, 5]}, 'device': 'cuda:1', 'data_path': '/data/private/video_rl/data/atari', 'data_type': 'atari', 'pin_memory': False, 'num_workers': 0, 'tmp_data_path': '/data/private/video_rl/data/atari', 'dataset_on_gpu': True, 'dataset_on_disk': False, 'prefetch_factor': 2, 'minimal_action_set': True, 'shuffle_checkpoints': False}, 'group_name': 'baseline', 'project_name': 'atari_pretrain'}",3ohk7a5y
7,"{'reward_ratio': 0.04745237261863093, 'act_acc': 0.7025132942795753, 'neg_sim': 0.002169917104765773, 'reward_f1': 0.8885448916408668, 'rank_eps01': 407, 'act_loss': 1.0184371182322502, 'reg_loss': 24.107733074188232, 'rank_eps001': 495, 'pos_neg_diff': 0.9225778579711914, 'loss': 1.265547197818756, 'act_f1': 0.30793640162625424, 'pos_sim': 0.9247477650642396, '_runtime': 17001, 'max_grad_norm': 0.4875307156741619, 'min_grad_norm': 2.5065364586129846e-09, 'mean_grad_norm': 0.05332511762157083, 'best_metric_val': 0.30793640162625424, 'obs_loss': 0.2471100789308548, 'rank_eps1': 187, '_timestamp': 1671287409, '_step': 48000, 'epoch': 2}","{'env': {'game': 'KungFuMaster', 'seed': 42, 'type': 'atari', 'frame': 4, 'horizon': 27000, 'grayscale': True, 'frame_skip': 4}, 'seed': 0, 'debug': False, 'model': {'head': {'type': 'gpt', 'in_dim': 'None', 't_step': 11, 'dropout': 0, 'pred_dim': 512, 'proj_dim': 512, 'obs_shape': [4, 1, 84, 84], 'num_layers': 2, 'action_size': 14}, 'policy': {'type': 'identity', 'in_dim': 'None'}, 'backbone': {'type': 'impala', 'strides': '(3, 2, 2)', 'channels': '(16, 32, 32)', 'init_type': 'None', 'norm_type': 'bn', 'obs_shape': [4, 1, 84, 84], 'action_size': 14, 'scale_ratio': 2, 'expansion_ratio': 2, 'blocks_per_group': 3}}, 'device': 'cuda:2', 'entity': 'draftrec', 'trainer': {'type': 'gpt', 't_step': 11, 'eval_eps': 0.001, 'act_lmbda': 1, 'aug_types': ['random_shift', 'intensity'], 'log_every': 1000, 'loss_type': 'cont', 'mask_type': 'none', 'obs_lmbda': 1, 'obs_shape': [4, 1, 84, 84], 'optimizer': {'lr': 0.0003, 'eps': 0.00015, 'type': 'adamw', 'betas': [0.9, 0.95], 'weight_decay': 1e-05}, 'reg_lmbda': 0, 'scheduler': {'gamma': 1, 'max_lr': 0.0003, 'min_lr': 0.0003, 'cycle_mult': 1, 'warmup_ratio': 0.2}, 'batch_size': 64, 'eval_every': 1, 'mask_ratio': 0.5, 'num_epochs': 10, 'patch_size': [12, 12], 'save_every': 10, 'action_size': 14, 'base_metric': 'act_f1', 'eval_policy': False, 'temperature': 0.1, 'barlow_lmbda': 0.005, 'dataset_type': 'demonstration', 'mask_strategy': 'agnostic', 'clip_grad_norm': 0.5, 'num_eval_trajectories': 50}, 'exp_name': 'gpt_cont_demon', 'pretrain': {'env': 'None', 'name': '', 'seed': '', 'artifact_name': '', 'use_pretrained': False}, 'dataloader': {'act': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'rew': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'game': 'KungFuMaster', 'type': 'replay', 'train': {'runs': [1], 'frame': 4, 't_step': 11, 'shuffle': True, 'max_size': 500000, 'batch_size': 64, 'checkpoints': [3, 4, 5]}, 'device': 'cuda:2', 'data_path': '/data/private/video_rl/data/atari', 'data_type': 'atari', 'pin_memory': False, 'num_workers': 0, 'tmp_data_path': '/data/private/video_rl/data/atari', 'dataset_on_gpu': True, 'dataset_on_disk': False, 'prefetch_factor': 2, 'minimal_action_set': True, 'shuffle_checkpoints': False}, 'group_name': 'baseline', 'project_name': 'atari_pretrain'}",29g0h9xm
8,"{'act_loss': 1.0935834201574326, 'reg_loss': 20.631371419906618, '_timestamp': 1671287263, 'rank_eps01': 422, 'pos_neg_diff': 0.9525059461593628, 'max_grad_norm': 0.6361858484148979, 'epoch': 2, 'pos_sim': 0.9562614560127258, 'act_acc': 0.6478718869686126, 'neg_sim': 0.003755489364266395, '_runtime': 16857, 'obs_loss': 0.1887988605052233, 'best_metric_val': 0.22032018884007265, 'loss': 1.282382279396057, '_step': 48000, 'reward_f1': 0.8017492711370262, 'reward_ratio': 0.017800890044502225, 'act_f1': 0.2147562242815462, 'rank_eps1': 209, 'mean_grad_norm': 0.07280964212864638, 'rank_eps001': 499, 'min_grad_norm': 4.455789204937943e-09}","{'env': {'game': 'Kangaroo', 'seed': 42, 'type': 'atari', 'frame': 4, 'horizon': 27000, 'grayscale': True, 'frame_skip': 4}, 'seed': 0, 'debug': False, 'model': {'head': {'type': 'gpt', 'in_dim': 'None', 't_step': 11, 'dropout': 0, 'pred_dim': 512, 'proj_dim': 512, 'obs_shape': [4, 1, 84, 84], 'num_layers': 2, 'action_size': 18}, 'policy': {'type': 'identity', 'in_dim': 'None'}, 'backbone': {'type': 'impala', 'strides': '(3, 2, 2)', 'channels': '(16, 32, 32)', 'init_type': 'None', 'norm_type': 'bn', 'obs_shape': [4, 1, 84, 84], 'action_size': 18, 'scale_ratio': 2, 'expansion_ratio': 2, 'blocks_per_group': 3}}, 'device': 'cuda:0', 'entity': 'draftrec', 'trainer': {'type': 'gpt', 't_step': 11, 'eval_eps': 0.001, 'act_lmbda': 1, 'aug_types': ['random_shift', 'intensity'], 'log_every': 1000, 'loss_type': 'cont', 'mask_type': 'none', 'obs_lmbda': 1, 'obs_shape': [4, 1, 84, 84], 'optimizer': {'lr': 0.0003, 'eps': 0.00015, 'type': 'adamw', 'betas': [0.9, 0.95], 'weight_decay': 1e-05}, 'reg_lmbda': 0, 'scheduler': {'gamma': 1, 'max_lr': 0.0003, 'min_lr': 0.0003, 'cycle_mult': 1, 'warmup_ratio': 0.2}, 'batch_size': 64, 'eval_every': 1, 'mask_ratio': 0.5, 'num_epochs': 10, 'patch_size': [12, 12], 'save_every': 10, 'action_size': 18, 'base_metric': 'act_f1', 'eval_policy': False, 'temperature': 0.1, 'barlow_lmbda': 0.005, 'dataset_type': 'demonstration', 'mask_strategy': 'agnostic', 'clip_grad_norm': 0.5, 'num_eval_trajectories': 50}, 'exp_name': 'gpt_cont_demon', 'pretrain': {'env': 'None', 'name': '', 'seed': '', 'artifact_name': '', 'use_pretrained': False}, 'dataloader': {'act': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'rew': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'game': 'Kangaroo', 'type': 'replay', 'train': {'runs': [1], 'frame': 4, 't_step': 11, 'shuffle': True, 'max_size': 500000, 'batch_size': 64, 'checkpoints': [3, 4, 5]}, 'device': 'cuda:0', 'data_path': '/data/private/video_rl/data/atari', 'data_type': 'atari', 'pin_memory': False, 'num_workers': 0, 'tmp_data_path': '/data/private/video_rl/data/atari', 'dataset_on_gpu': True, 'dataset_on_disk': False, 'prefetch_factor': 2, 'minimal_action_set': True, 'shuffle_checkpoints': False}, 'group_name': 'baseline', 'project_name': 'atari_pretrain'}",2y98ppjj
9,"{'act_f1': 0.21503321444464912, '_runtime': 16970, '_timestamp': 1671287377, 'reward_ratio': 0.1607080354017701, 'pos_neg_diff': 0.9424853324890136, 'max_grad_norm': 0.5188553490042687, 'rank_eps01': 403, 'min_grad_norm': 4.230236652080777e-09, '_step': 48000, 'epoch': 2, 'act_acc': 0.6455648556947708, 'neg_sim': 0.004982850048691034, 'pos_sim': 0.9474681615829468, 'reward_f1': 0.7086135126480948, 'best_metric_val': 0.218693992961149, 'mean_grad_norm': 0.06338827593252062, 'loss': 1.3324747865200042, 'act_loss': 1.0843197732567786, 'obs_loss': 0.24815501163899897, 'reg_loss': 22.922210889816284, 'rank_eps1': 203, 'rank_eps001': 495}","{'env': {'game': 'MsPacman', 'seed': 42, 'type': 'atari', 'frame': 4, 'horizon': 27000, 'grayscale': True, 'frame_skip': 4}, 'seed': 0, 'debug': False, 'model': {'head': {'type': 'gpt', 'in_dim': 'None', 't_step': 11, 'dropout': 0, 'pred_dim': 512, 'proj_dim': 512, 'obs_shape': [4, 1, 84, 84], 'num_layers': 2, 'action_size': 9}, 'policy': {'type': 'identity', 'in_dim': 'None'}, 'backbone': {'type': 'impala', 'strides': '(3, 2, 2)', 'channels': '(16, 32, 32)', 'init_type': 'None', 'norm_type': 'bn', 'obs_shape': [4, 1, 84, 84], 'action_size': 9, 'scale_ratio': 2, 'expansion_ratio': 2, 'blocks_per_group': 3}}, 'device': 'cuda:3', 'entity': 'draftrec', 'trainer': {'type': 'gpt', 't_step': 11, 'eval_eps': 0.001, 'act_lmbda': 1, 'aug_types': ['random_shift', 'intensity'], 'log_every': 1000, 'loss_type': 'cont', 'mask_type': 'none', 'obs_lmbda': 1, 'obs_shape': [4, 1, 84, 84], 'optimizer': {'lr': 0.0003, 'eps': 0.00015, 'type': 'adamw', 'betas': [0.9, 0.95], 'weight_decay': 1e-05}, 'reg_lmbda': 0, 'scheduler': {'gamma': 1, 'max_lr': 0.0003, 'min_lr': 0.0003, 'cycle_mult': 1, 'warmup_ratio': 0.2}, 'batch_size': 64, 'eval_every': 1, 'mask_ratio': 0.5, 'num_epochs': 10, 'patch_size': [12, 12], 'save_every': 10, 'action_size': 9, 'base_metric': 'act_f1', 'eval_policy': False, 'temperature': 0.1, 'barlow_lmbda': 0.005, 'dataset_type': 'demonstration', 'mask_strategy': 'agnostic', 'clip_grad_norm': 0.5, 'num_eval_trajectories': 50}, 'exp_name': 'gpt_cont_demon', 'pretrain': {'env': 'None', 'name': '', 'seed': '', 'artifact_name': '', 'use_pretrained': False}, 'dataloader': {'act': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'rew': {'runs': [2], 'frame': 4, 't_step': 1, 'shuffle': False, 'max_size': 100000, 'batch_size': 64, 'checkpoints': [50]}, 'game': 'MsPacman', 'type': 'replay', 'train': {'runs': [1], 'frame': 4, 't_step': 11, 'shuffle': True, 'max_size': 500000, 'batch_size': 64, 'checkpoints': [3, 4, 5]}, 'device': 'cuda:3', 'data_path': '/data/private/video_rl/data/atari', 'data_type': 'atari', 'pin_memory': False, 'num_workers': 0, 'tmp_data_path': '/data/private/video_rl/data/atari', 'dataset_on_gpu': True, 'dataset_on_disk': False, 'prefetch_factor': 2, 'minimal_action_set': True, 'shuffle_checkpoints': False}, 'group_name': 'baseline', 'project_name': 'atari_pretrain'}",388uh3eu
